2020 US Presidential Election,Trump,Biden,Jorgensen,
Alabama,1434159,843473,24994,
Alaska,108231,56849,4557,
Arizona,1626679,1643664,49984,
Arkansas,762423,421104,13108,
California,4812735,9315259,141986,
Colorado,1335253,1753416,50469,
Connecticut,699143,1059355,20163,
Delaware,199857,295413,4979,
District of Columbia,14449,258561,1449,
Florida,5667834,5294767,70249,
Georgia,2455840,2466452,61922,
Hawaii,196602,365802,5525,
Idaho,554019,286991,16401,
Illinois,2341276,3052746,60032,
Indiana,1727085,1239529,58763,
Iowa,896119,757710,19658,
Kansas,753370,551199,29470,
Kentucky,1340687,777270,26315,
Louisiana,1255528,855630,21638,
Maine,340667,419481,13364,
Maryland,861861,1590324,26582,
Massachusetts,1121180,2254190,44635,
Michigan,2646956,2794853,60384,
Minnesota,1485677,1717991,35010,
Mississippi,690849,453234,7387,
Missouri,1711848,1242851,40932,
Montana,341763,243714,15190,
Nebraska,550232,367931,19893,
Nevada,629879,664162,13638,
New Hampshire,365248,422284,15043,
New Jersey,1484030,2145028,23493,
New Mexico,400920,498022,12512,
New York,2850352,3699332,47887,
North Carolina,2733687,2658280,47341,
North Dakota,234965,114688,9493,
Ohio,3071959,2611377,64935,
Oklahoma,1020280,503890,24731,
Oregon,942737,1318475,40384,
Pennsylvania,3316043,3361700,77522,
Rhode Island,197421,300325,4976,
South Carolina,1386207,1092518,7047,
South Dakota,261108,150475,11095,
Tennessee,1849791,1139364,29811,
Texas,5872362,5216327,125100,
Utah,759583,489465,31220,
Vermont,111131,227231,3474,
Virginia,1963783,2396524,64780,
Washington,1514563,2303430,75641,
West Virginia,539610,232502,10462,
Wisconsin,1610030,1630569,38271,
Wyoming,193454,73445,5768,
